year,industry,people_employed
2023,Accommodation,16503
2023,Food and beverage services,47463
2023,"Road, rail, and water transport",3249
2023,Air and space transport,9561
2023,"Other transport, transport support, and travel and tour services",7095
2023,Rental and hiring services,3384
2023,Arts and recreation services,6195
2023,Retail trade,25044
2023,Education and training,11490
2023,All non-tourism-related industries,30036
2023,Total industry,160023
2024,Accommodation,19578
2024,Food and beverage services,57873
2024,"Road, rail, and water transport",4020
2024,Air and space transport,12426
2024,"Other transport, transport support, and travel and tour services",9027
2024,Rental and hiring services,3777
2024,Arts and recreation services,7275
2024,Retail trade,27681
2024,Education and training,13962
2024,All non-tourism-related industries,33807
2024,Total industry,189426
2025,Accommodation,20652
2025,Food and beverage services,60447
2025,"Road, rail, and water transport",3999
2025,Air and space transport,12864
2025,"Other transport, transport support, and travel and tour services",9516
2025,Rental and hiring services,3633
2025,Arts and recreation services,7731
2025,Retail trade,27147
2025,Education and training,14244
2025,All non-tourism-related industries,34392
2025,Total industry,194631
