year,directly_employed,indirectly_employed,total_tourism_employment
2000,152607,159666,312273
2001,157386,154941,312327
2002,162042,147489,309531
2003,169965,147345,317310
2004,177861,139689,317550
2005,184761,134697,319458
2006,190890,135204,326094
2007,197028,134775,331803
2008,198219,135687,333906
2009,198555,135102,333657
2010,187083,127245,314328
2011,181878,122967,304845
2012,175863,119055,294918
2013,173718,117033,290751
2014,175011,117600,292611
2015,191868,131286,323154
2016,210147,144132,354279
2017,208896,143217,352113
2018,222180,151452,373632
2019,220680,150360,371040
2020,220809,148329,369138
2021,145152,94950,240102
2022,128586,85194,213780
2023,160023,108891,268914
2024,189426,129588,319014
