year,direct_value_added_m,indirect_value_added_m,imports_sold_to_tourists_m,gst_paid_m,total_expenditure_m
1999,5112,4191,4960,1162,15426
2000,5660,4618,5910,1281,17469
2001,5914,5344,6095,1423,18777
2002,6454,5556,6599,1535,20144
2003,7423,5585,7011,1652,21671
2004,7926,5632,6707,1703,21968
2005,8417,5786,6616,1808,22627
2006,8782,6042,6577,1902,23304
2007,9135,6425,6929,1994,24483
2008,9781,6915,6879,2052,25627
2009,9119,6375,8567,2098,26159
2010,9437,6638,7172,2050,25297
2011,9607,6714,7283,2227,25831
2012,9937,6966,7126,2435,26464
2013,10162,7126,7160,2462,26909
2014,10787,7569,7307,2593,28256
2015,12525,8711,7475,2898,31608
2016,14411,10041,7410,3294,35156
2017,14393,9962,8469,3384,36208
2018,15427,10653,9315,3689,39084
2019,15827,10931,10318,3791,40866
2020,16106,11038,10510,3857,41512
2021,10089,6713,7028,2636,26465
2022,10272,6834,7452,2625,27183
2023,14640,10180,10158,3599,38576
2024,17409,12108,11377,4240,45133
