category,product,domestic_business_m,domestic_government_m,domestic_household_m,international_m,total_m
Tourism-characteristic products,Accommodation services,544,218,1411,1757,3929
Tourism-characteristic products,Food and beverage serving services,485,134,1853,2436,4908
Tourism-characteristic products,"Road, rail, and water passenger transport(3)",357,86,452,644,1540
Tourism-characteristic products,Air passenger transport,1155,569,1887,2741,6352
Tourism-characteristic products,Travel agency services,445,310,475,393,1623
Tourism-characteristic products,Motor vehicle hire or rental,896,324,358,365,1943
Tourism-characteristic products,Imputed rental on holiday homes,0,0,1066,0,1066
Tourism-characteristic products,"Libraries, archives, museums, and other cultural services",0,0,102,128,230
Tourism-characteristic products,Other sport and recreation services,0,0,462,260,721
Tourism-characteristic products,Total tourism-characteristic products,3882,1641,8066,8724,22313
Tourism-related products,Retail sales − alcohol,0,0,691,105,796
Tourism-related products,Retail sales − clothing and footwear,0,0,1147,666,1813
Tourism-related products,"Retail sales − food, beverages, tobacco, and other groceries",0,0,1372,282,1654
Tourism-related products,Retail sales − fuel and other automotive products,717,301,717,613,2348
Tourism-related products,"Retail sales − retail medicines, toiletries",0,0,534,128,662
Tourism-related products,Retail sales − tourism consumer durables,0,0,1729,324,2053
Tourism-related products,Retail sales − other shopping,0,0,1847,1896,3742
Tourism-related products,Financial services,30,3,2,6,41
Tourism-related products,General insurance (incl travel insurance),135,16,159,78,388
Tourism-related products,Social and health-related services,0,0,925,103,1029
Tourism-related products,Gambling services,0,0,205,87,292
Tourism-related products,Education services,0,0,594,747,1341
Tourism-related products,Other tourism-related services,240,59,453,1430,2182
Tourism-related products,Other personal services,0,0,205,34,239
Tourism-related products,Total tourism-related products,1122,380,10579,6498,18580
Tourism-related products,Total tourism demand excluding GST,5005,2021,18645,15222,40893
Tourism-related products,GST paid on purchases by tourists,6,1,2502,1731,4240
Tourism-related products,Total tourism expenditure,5011,2022,21147,16953,45133
