year,international_expenditure_m,domestic_expenditure_m,total_expenditure_m,total_exports_m,international_pct_of_exports
1999,6028,9398,15426,31639,19.1
2000,7156,10313,17469,35045,20.4
2001,8218,10559,18777,42837,19.2
2002,9054,11090,20144,45604,19.9
2003,9593,12078,21671,44403,21.6
2004,9691,12277,21968,43119,22.5
2005,10071,12557,22627,45662,22.1
2006,10147,13156,23304,46087,22
2007,10676,13806,24483,50928,21
2008,11010,14617,25627,54645,20.1
2009,10927,15232,26159,60759,18
2010,10316,14981,25297,55832,18.5
2011,10090,15741,25831,61559,16.4
2012,10151,16313,26464,64749,15.7
2013,9958,16952,26909,62766,15.9
2014,10444,17813,28256,67076,15.6
2015,12426,19183,31608,67906,18.3
2016,14864,20292,35156,71390,20.8
2017,14796,21411,36208,72297,20.5
2018,16320,22764,39084,80215,20.3
2019,17164,23702,40866,85386,20.1
2020,17687,23824,41512,88365,20
2021,1485,24980,26465,71277,2.1
2022,1943,25240,27183,80117,2.4
2023,10601,27975,38576,94712,11.2
2024,16953,28180,45133,98653,17.2
