year,purpose,arrivals
2022,Holiday,32570
2023,Holiday,873903
2024,Holiday,1473757
2025,Holiday,1648137
2022,Visiting friends & relatives,138479
2023,Visiting friends & relatives,863534
2024,Visiting friends & relatives,1010349
2025,Visiting friends & relatives,1031855
2022,Conferences & conventions,671
2023,Conferences & conventions,33730
2024,Conferences & conventions,61846
2025,Conferences & conventions,62159
2022,Business,19832
2023,Business,154751
2024,Business,197679
2025,Business,199775
2022,Education,2307
2023,Education,26628
2024,Education,50469
2025,Education,50889
2022,Other(4)(6),35511
2023,Other(4)(6),246527
2024,Other(4)(6),389276
2025,Other(4)(6),327872
