year,region,arrivals
2022,Oceania,191442
2023,Oceania,1236026
2024,Oceania,1463958
2025,Oceania,1566339
2022,Asia,9937
2023,Asia,249564
2024,Asia,668992
2025,Asia,738626
2022,Europe,12819
2023,Europe,324366
2024,Europe,408220
2025,Europe,436588
2022,Americas,7342
2023,Americas,300674
2024,Americas,478333
2025,Americas,477680
2022,Other(3)(4),7830
2023,Other(3)(4),88443
2024,Other(3)(4),163873
2025,Other(3)(4),101454
2022,Total(5),229370
2023,Total(5),2199073
2024,Total(5),3183376
2025,Total(5),3320687
